ADA	Cardano
AMD	Армянский драм
BCH	Bitcoin BCH
BCN	Bytecoin
BNB	Binance Coin
BSV	Bitcoin SV
BTC	Bitcoin
BTG	Bitcoin Gold
BTT	BitTorrent
BYN	Белорусский рубль
CNY	Юань
DSH	Dash
EOS	EOS
ETC	Ethereum Classic
ETH	Ethereum
EUR	Евро
GAU	1 грамм золота
GBP	Фунт стерлингов
ICX	ICON
INR	Индийская рупия
IOT	IOTA
JPY	Японская иена
KMD	Komodo
KZT	Казахстанский тенге
LSK	Lisk
LTC	Litecoin
NEO	NEO
NGN	Нигерийская найра
OMG	OmiseGO
PLN	Польский злотый
PPC	Peercoin
REP	Augur
RUB	Российский рубль
THB	Тайский бат
TRX	TRON
UAH	Гривна
USD	Доллар США
UZS	Узбекский сум
WAV	WAVES
WMX	WMX (0.001 BTC)
XDG	Dogecoin
XEM	NEM
XLM	Stellar
XMR	Monero
XRP	Ripple
XVG	Verge
ZEC	Zcash
ZRX	0x
